2000,3
4000,3
6000,3
8000,3
10000,4
12000,1
14000,1
16000,5
18000,2
20000,5
22000,3
24000,2
26000,3
28000,3
30000,3
32000,3
34000,2
36000,2
38000,2
40000,3
42000,4
44000,2
46000,3
48000,3
50000,5
52000,3
54000,1
56000,1
58000,3
60000,5
62000,3
64000,3
66000,3
68000,5
70000,2
72000,1
74000,1
76000,2
78000,3
80000,3
82000,4
84000,3
86000,1
88000,2
90000,4
92000,1
94000,4
96000,3
98000,1
100000,3
102000,1
104000,4
106000,2
108000,3
110000,4
112000,4
114000,4
116000,4
118000,1
120000,4
122000,2
124000,3
126000,3
128000,4
130000,2
132000,3
134000,1
136000,3
138000,3
140000,4
142000,4
144000,4
146000,3
148000,1
150000,3
152000,4
154000,3
156000,2
158000,3
160000,3
162000,3
164000,3
166000,3
168000,4
170000,3
172000,3
174000,1
176000,4
178000,1
180000,3
182000,3
184000,3
186000,4
188000,2
190000,2
192000,2
194000,2
196000,3
198000,3
200000,3
201195,0
