0.01,-2.244471847875074,-3.3816553430874845,4,1645
0.1,-2.2515701019057666,-3.3936450255593713,4,1479
0.2,-2.249243110498533,-3.389998459209285,4,1541
0.3,-2.2498302303402657,-3.391170642805895,4,1536
0.4,-2.2455510803197436,-3.384599830085631,4,1550
0.5,-2.250315653260546,-3.391966728081851,4,1577
0.6,-2.2486982724810916,-3.38934062313562,4,1558
0.7,-2.2473846836835274,-3.387281908284882,4,1569
0.8,-2.249579795761438,-3.3906082104556323,4,1562
0.9,-2.249351384084183,-3.390192554874087,4,1562
0.99,-2.2423915589811325,-3.3797496706114694,4,1570
