10,22
20,10
30,13
40,9
50,12
60,13
70,13
80,12
90,12
100,9
110,9
120,12
130,9
140,10
150,12
160,11
170,9
180,9
190,12
200,11
210,9
220,11
230,9
240,9
250,10
260,11
270,9
280,10
290,10
300,10
310,10
320,10
330,10
340,10
350,10
360,10
370,9
380,10
390,5
400,11
410,8
420,10
430,9
440,5
450,8
460,7
470,10
480,7
490,10
500,7
510,10
520,7
530,10
540,7
550,10
560,7
570,10
580,7
590,10
600,7
610,10
620,5
630,10
640,5
650,10
660,5
670,10
680,5
690,11
700,3
710,7
720,7
730,7
740,7
750,7
760,11
770,11
780,7
790,7
800,7
810,7
820,7
830,7
840,7
850,7
860,7
870,2
880,11
890,11
900,7
910,10
920,10
930,4
940,5
950,5
960,7
970,9
980,4
990,6
1000,9
1010,7
1020,6
1030,5
1040,7
1050,2
1060,7
1070,7
1080,7
1090,7
1100,7
1110,7
1120,7
1130,7
1140,7
1150,7
1160,7
1170,7
1180,7
1190,7
1200,7
1210,7
1220,7
1230,6
1240,7
1250,5
1260,7
1270,7
1280,7
1290,6
1300,5
1310,7
1320,7
1330,5
1340,6
1350,6
1360,6
1370,6
1380,6
1390,7
1400,7
1410,6
1420,6
1430,7
1440,7
1450,6
1460,7
1470,6
1480,6
1490,7
1500,6
1510,5
1520,6
1530,5
1540,6
1541,0
