"[20, 90, 70, 50, 50]","[10, 10, 10, 10, 10]"
"[0, 100, 40, 30, 80]","[10, 10, 10, 10, 10]"
"[80, 30, 40, 30, 10]","[10, 10, 10, 10, 10]"
"[40, 0, 30, 70, 40]","[10, 10, 10, 10, 10]"
"[0, 50, 100, 0, 40]","[10, 10, 10, 10, 10]"
"[0, 50, 20, 60, 0]","[10, 10, 10, 10, 10]"
"[60, 0, 40, 90, 20]","[10, 10, 10, 10, 10]"
"[20, 80, 10, 60, 80]","[10, 10, 10, 10, 10]"
"[70, 50, 90, 40, 70]","[10, 10, 10, 10, 10]"
"[50, 50, 80, 40, 80]","[10, 10, 10, 10, 10]"
"[0, 80, 90, 20, 90]","[10, 10, 10, 10, 10]"
"[0, 100, 40, 40, 100]","[10, 10, 10, 10, 10]"
"[40, 0, 0, 30, 0]","[10, 10, 10, 10, 10]"
"[60, 0, 40, 70, 50]","[10, 10, 10, 10, 10]"
"[0, 70, 20, 30, 0]","[10, 10, 10, 10, 10]"
"[10, 70, 20, 30, 10]","[10, 10, 10, 10, 10]"
"[80, 90, 30, 90, 100]","[10, 10, 10, 10, 10]"
"[20, 30, 0, 20, 10]","[10, 10, 10, 10, 10]"
"[0, 40, 80, 0, 80]","[10, 10, 10, 10, 10]"
"[60, 90, 80, 90, 10]","[10, 10, 10, 10, 10]"
"[90, 30, 20, 10, 90]","[10, 10, 10, 10, 10]"
"[40, 70, 40, 100, 90]","[10, 10, 10, 10, 10]"
"[40, 30, 10, 60, 0]","[10, 10, 10, 10, 10]"
"[0, 0, 20, 0, 20]","[10, 10, 10, 10, 10]"
"[30, 40, 10, 30, 100]","[10, 10, 10, 10, 10]"
"[80, 60, 20, 90, 60]","[10, 10, 10, 10, 10]"
"[0, 90, 50, 70, 60]","[10, 10, 10, 10, 10]"
"[0, 60, 80, 80, 60]","[10, 10, 10, 10, 10]"
"[90, 0, 90, 10, 20]","[10, 10, 10, 10, 10]"
"[40, 50, 0, 90, 70]","[10, 10, 10, 10, 10]"
"[50, 100, 100, 100, 90]","[10, 10, 10, 10, 10]"
"[60, 70, 10, 30, 80]","[10, 10, 10, 10, 10]"
"[70, 80, 40, 90, 0]","[10, 10, 10, 10, 10]"
"[40, 90, 100, 70, 70]","[10, 10, 10, 10, 10]"
"[30, 70, 50, 20, 60]","[10, 10, 10, 10, 10]"
