X坐标,Y坐标,实际分类,预测分类,预测是否正确
14.379194625523457,5.678009392841696,1,4,False
9.026792934916559,12.379864873790545,1,1,True
12.22931559277823,0.5173211468990901,1,4,False
0.2583161256982902,17.831597974941758,1,2,False
16.17613576607304,14.838177828732588,1,1,True
17.002204166168333,0.15669822383437948,1,4,False
-1.4125492726958844,8.73789385185672,2,2,True
-19.38856459470738,14.27354326300475,2,2,True
-0.5621551725050389,12.19721517543325,2,2,True
-6.0666834169405774,4.15427237141015,2,3,False
-17.07755949892028,9.540148909739415,2,2,True
-12.144790315213347,18.46227560513206,2,2,True
-15.986163652911669,5.248612760249118,2,3,False
-10.416341275948827,19.096864446365274,2,2,True
-18.2344392926514,-5.166519942336585,3,3,True
-13.555366554283115,-0.07530281516111348,3,3,True
-7.796296879196182,-16.128244906836144,3,3,True
-5.25277271553122,-18.661753794853574,3,3,True
-0.11664590980827061,-19.7853082750465,3,4,False
-19.216450387430875,-8.410799199874434,3,3,True
-5.4069500869084735,-17.22690930660879,3,3,True
-6.397632602237064,-14.204206969708435,3,3,True
-4.756984922654295,-2.7500487943465357,3,3,True
-2.8179035890183446,-10.537156062974077,3,3,True
-7.214173551427658,-9.296957228217135,3,3,True
-6.490116891795827,-7.6352338770434685,3,3,True
12.322722526591388,-15.159041704127926,4,4,True
2.1791646619771377,-8.231636712831747,4,4,True
0.701142295665913,-4.0312480598001965,4,4,True
16.7192594047321,-14.82255017350434,4,4,True
8.767727601433586,-19.188120671489802,4,4,True
7.566620461648432,-9.66485116042147,4,4,True
0.8839925118651282,-4.0903758238996035,4,4,True
19.373233097138073,-19.783228661130043,4,4,True
13.409061173017442,-1.0931792386531036,4,4,True
10.670907765265895,-15.053684359544551,4,4,True
1.8715560377643436,-7.031918963868815,4,4,True
11.953876937476096,-0.5225223708600524,4,4,True
19.170229257824992,-19.898181599578567,4,4,True
9.187640356724296,-2.8467177882337147,4,4,True
